Model,Train Accuracy,Accuracy,Precision,Recall,F1 Score,Folds,type,Best Parameters
MultinomialNB,0.8681318681318682,0.8875,0.6991431291653444,0.7885057471264367,0.7312430011198208,5,Unigram,{'alpha': 0.25}
LogisticRegression,0.8681318681318682,0.85625,0.6679487179487179,0.8011494252873563,0.7026262626262626,5,Unigram,"{'C': 2.5, 'penalty': 'l2'}"
DecisionTreeClassifier,0.7331240188383046,0.73125,0.5818452380952381,0.7022988505747126,0.5750725711815207,5,Unigram,"{'max_depth': 4, 'min_samples_split': 2}"
RandomForestClassifier,0.8555729984301413,0.89375,0.7245670995670996,0.8816091954022989,0.7716396608177315,5,Unigram,"{'max_depth': 16, 'min_samples_split': 8, 'n_estimators': 100}"
MultinomialNB,0.8571428571428571,0.8625,0.6663881927039821,0.7747126436781608,0.698526892771497,10,Unigram,{'alpha': 0.1}
LogisticRegression,0.8681318681318682,0.85625,0.6679487179487179,0.8011494252873563,0.7026262626262626,10,Unigram,"{'C': 2.5, 'penalty': 'l2'}"
DecisionTreeClassifier,0.7409733124018838,0.74375,0.5867658276125095,0.7091954022988505,0.584783847078929,10,Unigram,"{'max_depth': None, 'min_samples_split': 2}"
RandomForestClassifier,0.7959183673469388,0.83125,0.6458916900093371,0.7873563218390804,0.6746742977633858,10,Unigram,"{'max_depth': 30, 'min_samples_split': 30, 'n_estimators': 100}"
MultinomialNB,0.8712715855572999,0.8,0.6148099318831026,0.7402298850574712,0.6326061997703789,5,Bigram,{'alpha': 0.01}
LogisticRegression,0.8728414442700158,0.8625,0.68192048012003,0.8344827586206897,0.7207235798159315,5,Bigram,"{'C': 10, 'penalty': 'l2'}"
DecisionTreeClassifier,0.7111459968602826,0.6625,0.5498211548288197,0.6344827586206896,0.5161290322580645,5,Bigram,"{'max_depth': 8, 'min_samples_split': 4}"
RandomForestClassifier,0.8084772370486656,0.8875,0.7051851851851851,0.8183908045977011,0.7428571428571429,5,Bigram,"{'max_depth': 16, 'min_samples_split': 8, 'n_estimators': 100}"
MultinomialNB,0.8791208791208791,0.8875,0.6991431291653444,0.7885057471264367,0.7312430011198208,10,Bigram,{'alpha': 0.25}
LogisticRegression,0.8728414442700158,0.8625,0.68192048012003,0.8344827586206897,0.7207235798159315,10,Bigram,"{'C': 10, 'penalty': 'l2'}"
DecisionTreeClassifier,0.695447409733124,0.66875,0.5716666666666667,0.6977011494252874,0.5385034013605442,10,Bigram,"{'max_depth': 2, 'min_samples_split': 2}"
RandomForestClassifier,0.8163265306122449,0.85625,0.6679487179487179,0.8011494252873563,0.7026262626262626,10,Bigram,"{'max_depth': 16, 'min_samples_split': 8, 'n_estimators': 100}"
